pano_id,lat,lng,heading,num_links,tour_url
47020034,43.444122222222,-3.833825,2.4,1,https://tourmkr.com/F17VY1PAdF
47020035,43.444063888889,-3.8341861111111,286.5,2,https://tourmkr.com/F17VY1PAdF
47020036,43.443947222222,-3.8342861111111,286.8,2,https://tourmkr.com/F17VY1PAdF
47020037,43.443802777778,-3.8344111111111,280.5,2,https://tourmkr.com/F17VY1PAdF
47020038,43.443652777778,-3.8345111111111,154.3,3,https://tourmkr.com/F17VY1PAdF
47020040,43.443467704144,-3.834628682255,277.0,2,https://tourmkr.com/F17VY1PAdF
47020039,43.443341666667,-3.8347,276.7,2,https://tourmkr.com/F17VY1PAdF
47020041,43.443172222222,-3.8347944444444,274.0,2,https://tourmkr.com/F17VY1PAdF
47020042,43.443011111111,-3.8348722222222,275.8,2,https://tourmkr.com/F17VY1PAdF
47020043,43.442844444444,-3.8349611111111,275.4,2,https://tourmkr.com/F17VY1PAdF
47020044,43.442663888889,-3.8350555555556,270.5,2,https://tourmkr.com/F17VY1PAdF
47020045,43.442522222222,-3.8351111111111,90.5,1,https://tourmkr.com/F17VY1PAdF
47019905,43.443683333333,-3.8342805555556,121.9,2,https://tourmkr.com/F17VY1PAdF
47019907,43.443813888889,-3.8340861111111,127.2,2,https://tourmkr.com/F17VY1PAdF
47019904,43.443925,-3.8338861111111,131.5,2,https://tourmkr.com/F17VY1PAdF
47019906,43.444027777778,-3.8336694444444,130.0,2,https://tourmkr.com/F17VY1PAdF
47019910,43.44416320383,-3.8333998433613,132.7,2,https://tourmkr.com/F17VY1PAdF
47019911,43.444344444444,-3.8329833333333,133.9,2,https://tourmkr.com/F17VY1PAdF
47019908,43.444431760201,-3.8327812262424,313.9,2,https://tourmkr.com/F17VY1PAdF
47019909,43.444528859199,-3.8325672420312,312.6,2,https://tourmkr.com/F17VY1PAdF
47019914,43.444588326593,-3.8324365449659,312.6,3,https://tourmkr.com/F17VY1PAdF
47019915,43.444772967732,-3.8325343952057,233.6,2,https://tourmkr.com/F17VY1PAdF
47019912,43.444921336969,-3.8326271491269,230.2,2,https://tourmkr.com/F17VY1PAdF
47019913,43.44509992943,-3.8327179589393,234.4,2,https://tourmkr.com/F17VY1PAdF
47019917,43.445286894459,-3.8328170883323,233.6,2,https://tourmkr.com/F17VY1PAdF
47019916,43.44549771231,-3.8329210027262,52.1,2,https://tourmkr.com/F17VY1PAdF
47019918,43.445674534223,-3.8330221911088,104.3,3,https://tourmkr.com/F17VY1PAdF
47019919,43.444247222222,-3.8335027777778,167.1,2,https://tourmkr.com/F17VY1PAdF
47019920,43.444238909857,-3.8332323763745,347.1,3,https://tourmkr.com/F17VY1PAdF
47019921,43.444724710402,-3.8321616562749,132.0,2,https://tourmkr.com/F17VY1PAdF
47019922,43.444824813567,-3.8319464208203,130.2,2,https://tourmkr.com/F17VY1PAdF
47019923,43.444932412677,-3.8317300699368,134.4,2,https://tourmkr.com/F17VY1PAdF
47019927,43.445011111111,-3.8315444444444,129.2,2,https://tourmkr.com/F17VY1PAdF
47019924,43.445117612099,-3.8313382328491,127.8,2,https://tourmkr.com/F17VY1PAdF
47019925,43.445181771567,-3.8312201315374,131.5,3,https://tourmkr.com/F17VY1PAdF
47019926,43.445336513958,-3.8313068640859,53.7,3,https://tourmkr.com/F17VY1PAdF
47019928,43.445542391412,-3.8314151591788,57.4,2,https://tourmkr.com/F17VY1PAdF
47019929,43.445664703569,-3.8314675842095,52.9,2,https://tourmkr.com/F17VY1PAdF
47019931,43.445815856714,-3.8315507292466,52.9,2,https://tourmkr.com/F17VY1PAdF
47019930,43.445999565412,-3.8316517824452,55.6,2,https://tourmkr.com/F17VY1PAdF
47019932,43.446179702446,-3.8317372538688,54.6,2,https://tourmkr.com/F17VY1PAdF
47019933,43.446335037095,-3.8318152721383,234.6,2,https://tourmkr.com/F17VY1PAdF
47019934,43.44646618861,-3.8318837018239,54.2,2,https://tourmkr.com/F17VY1PAdF
47019935,43.446663379692,-3.8319847448724,52.9,2,https://tourmkr.com/F17VY1PAdF
47019936,43.44680522877,-3.8320627732839,50.6,2,https://tourmkr.com/F17VY1PAdF
47019938,43.445382035249,-3.8311870652103,134.3,2,https://tourmkr.com/F17VY1PAdF
47019937,43.445425,-3.8310861111111,142.3,2,https://tourmkr.com/F17VY1PAdF
47019939,43.445472222222,-3.8309277777778,156.2,2,https://tourmkr.com/F17VY1PAdF
47019940,43.445316319465,-3.8309365926094,133.5,2,https://tourmkr.com/F17VY1PAdF
47019942,43.445421266619,-3.830697530369,132.8,2,https://tourmkr.com/F17VY1PAdF
47019941,43.445520831699,-3.8304770000918,129.0,3,https://tourmkr.com/F17VY1PAdF
47019943,43.445623794536,-3.8302795525198,130.2,2,https://tourmkr.com/F17VY1PAdF
47019944,43.445717270428,-3.8300915354049,129.2,2,https://tourmkr.com/F17VY1PAdF
47019946,43.44745603937,-3.8293286365077,235.0,3,https://tourmkr.com/F17VY1PAdF
47019945,43.447271715194,-3.8292378299227,55.0,2,https://tourmkr.com/F17VY1PAdF
47019947,43.447106226586,-3.8291562893157,233.8,2,https://tourmkr.com/F17VY1PAdF
47019948,43.446917416484,-3.829057452258,239.3,2,https://tourmkr.com/F17VY1PAdF
47019949,43.446745199679,-3.8289925904124,257.6,2,https://tourmkr.com/F17VY1PAdF
